2024杭州悦声印刷纸综合价格表,,,,,,,,2024杭州悦声包装纸综合价格表,,,,,,,,,,
未注明/吨的，均为令价,,,,,,,,未注明/吨的，均为令价,,,,,,,,,,
,,,250,,1335 ,,,39~41,,魅力系列,120,浅色,冰白,令,800 ,,,
,,,300,,1585 ,,,,,,,主色,白金|星翠|米金|粉红|天蓝|太空银|金黄|米白|米黄|珠白||白色|黑色|超白/荧粉蓝,令,850 ,,,
,,,350,,1830 ,,,,,,,深色白底,古铜/紫红/香槟/棕铜/宝蓝/紫色/银碳,令,900 ,,,
,,双面纹,120,,745 ,,,,,,,其它,幻金/黑金/复色/红银,令,1000 ,,,
,,,170,,990 ,,,41~47,翼羽牌,"亮丽充皮
（高亮系列）",120g,黑色,细格/荔枝/蜥蜴/莲珠/鳄鱼纹/充皮纹,令,1100 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,,250,,1385 ,,,,,,,其它单色,,令,1150 ,,,
,,,300,,1635 ,,,,,,,双色,,令,1200 ,,,
,,,350,,1880 ,,,,,亮丽充皮,120,黑色,"其中蜥蜴/藤条/鳄鱼/兰叶/云盾/莲珠/莱特纹/小皮纹3令起订,其余纹路不限",令,800 ,东莞基地批量备货，可特规特定,,
,利德超滑卡,,250-350,,9000/吨,清库存产品,,,,,,其它单色,,令,875 ,,,
,锐丽白卡,雪白,100－250,正/大度,9500/吨,非库存货品订货前先询价,,,,,,双色,,令,950 ,,,
,,,100,,408 ,,,,,亮丽卡,230,大红/黑色,平面/单面纹,令,1600 ,东莞基地定制产品，原纸常备卷筒，支持特规特定,,
,,,110,,449 ,,,,,,250,,,令,1700 ,,,
,,,140,,572 ,,,,,,300,,,令,1950 ,,,
,,,180,,735 ,,,,,,350,,,令,2200 ,,,
,,,230,,939 ,,,49~52,◇PVC充皮纸系列,金属PVC,A/G系列,1.08×50m,金属PVC,米,9.30 ,,,
,,,250,,1021 ,,,,,PVC,TC系列,1.08×50m,绒感/触感/皮感平面,米,12.60 ,,,
,,,300-400,正/大度,10000/吨,,,,,,FC系列,1.08×50m,绒感/触感/皮感平面,米,10.00 ,,,
,,,300,,1290,,,,,珠光PVC,T/F/JM系列,1.08×50m,珠光PVC,米,7.80 ,,,
,,,350,,1505,,,,,双色系列,DP/CA系列,1.08×50m,双色PVC,米,7.00 ,,,
,,,400,,1720,,,,,单色系列,D系列,1.08×50m,单色PVC,米,6.40 ,,,
